player,team,game_date,passing_yards,rushing_yards,receiving_yards
Dak Prescott,Unknown,2024-09-22,379.0,7.0,0
Lamar Jackson,Unknown,2024-09-22,182.0,87.0,0
Brock Purdy,Unknown,2024-09-22,292.0,41.0,0
Justin Herbert,Unknown,2024-09-22,125.0,0.0,0
Kirk Cousins,Unknown,2024-09-16,241.0,-1.0,0
Jalen Hurts,Unknown,2024-09-16,183.0,85.0,0
Brock Purdy,Unknown,2024-09-15,319.0,12.0,0
Jared Goff,Unknown,2024-09-15,307.0,5.0,0
Dak Prescott,Unknown,2024-09-15,293.0,12.0,0
Patrick Mahomes,Unknown,2024-09-15,151.0,29.0,0
Lamar Jackson,Unknown,2024-09-15,247.0,45.0,0
C.J. Stroud,Unknown,2024-09-15,260.0,-1.0,0
Justin Herbert,Unknown,2024-09-15,130.0,18.0,0
Josh Allen,Unknown,2024-09-12,139.0,2.0,0
Tua Tagovailoa,Unknown,2024-09-12,145.0,17.0,0
Brock Purdy,Unknown,2024-09-09,231.0,11.0,0
Kirk Cousins,Unknown,2024-09-08,155.0,0.0,0
Dak Prescott,Unknown,2024-09-08,179.0,3.0,0
Jared Goff,Unknown,2024-09-08,217.0,7.0,0
Josh Allen,Unknown,2024-09-08,232.0,39.0,0
C.J. Stroud,Unknown,2024-09-08,234.0,13.0,0
Justin Herbert,Unknown,2024-09-08,144.0,6.0,0
Tua Tagovailoa,Unknown,2024-09-08,338.0,11.0,0
Jalen Hurts,Unknown,2024-09-06,278.0,33.0,0
Patrick Mahomes,Unknown,2024-09-05,291.0,3.0,0
Lamar Jackson,Unknown,2024-09-05,273.0,122.0,0
Brock Purdy,Unknown,2024-02-11,255.0,12.0,0
Patrick Mahomes,Unknown,2024-02-11,333.0,66.0,0
Jared Goff,Unknown,2024-01-28,273.0,0.0,0
Brock Purdy,Unknown,2024-01-28,267.0,48.0,0
Patrick Mahomes,Unknown,2024-01-28,241.0,15.0,0
Lamar Jackson,Unknown,2024-01-28,272.0,54.0,0
Jared Goff,Unknown,2024-01-21,287.0,6.0,0
Josh Allen,Unknown,2024-01-21,186.0,72.0,0
Patrick Mahomes,Unknown,2024-01-21,215.0,19.0,0
C.J. Stroud,Unknown,2024-01-20,175.0,9.0,0
Lamar Jackson,Unknown,2024-01-20,152.0,100.0,0
Brock Purdy,Unknown,2024-01-20,252.0,14.0,0
Jalen Hurts,Unknown,2024-01-15,250.0,5.0,0
Josh Allen,Unknown,2024-01-15,203.0,74.0,0
Jared Goff,Unknown,2024-01-14,277.0,-3.0,0
Dak Prescott,Unknown,2024-01-14,403.0,45.0,0
Patrick Mahomes,Unknown,2024-01-13,262.0,41.0,0
Tua Tagovailoa,Unknown,2024-01-13,199.0,25.0,0
C.J. Stroud,Unknown,2024-01-13,274.0,1.0,0
Jalen Hurts,Unknown,2023-02-12,304.0,70.0,0
Patrick Mahomes,Unknown,2023-02-12,182.0,44.0,0
Patrick Mahomes,Unknown,2023-01-29,326.0,8.0,0
Brock Purdy,Unknown,2023-01-29,23.0,0.0,0
Jalen Hurts,Unknown,2023-01-29,121.0,39.0,0
Josh Allen,Unknown,2023-01-22,264.0,26.0,0
Brock Purdy,Unknown,2023-01-22,214.0,8.0,0
Dak Prescott,Unknown,2023-01-22,206.0,22.0,0
Patrick Mahomes,Unknown,2023-01-21,195.0,8.0,0
Jalen Hurts,Unknown,2023-01-21,154.0,34.0,0
Dak Prescott,Unknown,2023-01-16,305.0,24.0,0
Josh Allen,Unknown,2023-01-15,352.0,20.0,0
Kirk Cousins,Unknown,2023-01-15,273.0,1.0,0
Brock Purdy,Unknown,2023-01-14,332.0,16.0,0
Justin Herbert,Unknown,2023-01-14,273.0,12.0,0
Patrick Mahomes,Unknown,2022-01-30,275.0,19.0,0
Josh Allen,Unknown,2022-01-23,329.0,68.0,0
Patrick Mahomes,Unknown,2022-01-23,378.0,69.0,0
Patrick Mahomes,Unknown,2022-01-16,404.0,29.0,0
Jalen Hurts,Unknown,2022-01-16,258.0,39.0,0
